WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1,专注,2018/10/8 上午10:00,2019/1/2 下午4:00,1 月 2 周 1 天 4 小时,5 月 2 周 2 天,99%,,,,,,,,,,,,"¥29,080.00","¥29,080.00"
1.1,项目范围规划,2018/10/8 上午10:00,2018/10/12 上午10:00,2 天,2 周,100%,,,,,,,,,,,,"¥2,600.00","¥2,600.00"
1.1.1,确定项目范围,2018/10/8 上午10:00,2018/10/11 下午4:00,2 天,2 周,100%,,褚旭; 朱佳俊; 宋子涵; 吴嘉政; 施健一; 会议室,,,,,,,,,500,"¥2,600.00","¥2,600.00"
1.1.2,软件规划完成,2018/10/12 上午10:00,2018/10/12 上午10:00,,,100%,,,,,,,,,1.1.1,,,,
1.2,需求分析,2018/10/12 上午10:00,2018/10/22 上午10:00,3 天,3 周,100%,,,,,,,,,1.1,,,"¥4,200.00","¥4,200.00"
1.2.1,业务需求分析,2018/10/12 上午10:00,2018/10/15 下午4:00,1 天,1 周,100%,,褚旭; 施健一; 宋子涵; 吴嘉政; 朱佳俊; 会议室,,,,,,,,,500,"¥1,400.00","¥1,400.00"
1.2.2,用户需求分析,2018/10/16 上午10:00,2018/10/17 下午4:00,1 天,1 周,100%,,褚旭; 施健一; 宋子涵; 吴嘉政; 朱佳俊; 会议室,,,,,,,1.2.1,,500,"¥1,400.00","¥1,400.00"
1.2.3,功能需求分析,2018/10/18 上午10:00,2018/10/19 下午4:00,1 天,1 周,100%,,褚旭; 施健一; 宋子涵; 吴嘉政; 朱佳俊; 会议室,,,,,,,1.2.2,,500,"¥1,400.00","¥1,400.00"
1.2.4,需求分析完成,2018/10/22 上午10:00,2018/10/22 上午10:00,,,100%,,,,,,,,,1.2.3,,,,
1.3,可行性分析,2018/10/22 上午10:00,2018/10/23 下午4:00,1 天,1 周,100%,,施健一; 褚旭; 朱佳俊; 宋子涵; 吴嘉政; 会议室,,,,,,,1.2,,500,"¥1,400.00","¥1,400.00"
1.4,系统设计,2018/10/24 上午10:00,2018/11/7 上午10:00,1 周,1 月 1 周 2 天,100%,,,,,,,,,1.3,,,"¥7,280.00","¥7,280.00"
1.4.1,概要设计,2018/10/24 上午10:00,2018/11/6 下午4:00,1 周,1 月 3 天,100%,,,,,,,,,,,,"¥6,320.00","¥6,320.00"
1.4.1.1,数据字典设计,2018/10/24 上午10:00,2018/10/29 下午4:00,2 天,1 周 3 天,100%,,宋子涵; 朱佳俊; 吴嘉政; 褚旭; 会议室,,,,,,,,,500,"¥2,120.00","¥2,120.00"
1.4.1.2,体系结构设计,2018/10/30 上午10:00,2018/10/31 下午4:00,1 天,1 周,100%,,宋子涵; 褚旭; 朱佳俊; 吴嘉政; 会议室; 施健一,,,,,,,1.4.1.1,,500,"¥1,400.00","¥1,400.00"
1.4.1.3,接口设计,2018/11/1 上午10:00,2018/11/2 下午4:00,1 天,1 周,100%,,朱佳俊; 吴嘉政; 褚旭; 宋子涵; 会议室; 施健一,,,,,,,1.4.1.2,,500,"¥1,400.00","¥1,400.00"
1.4.1.4,过程设计,2018/11/5 上午10:00,2018/11/6 下午4:00,1 天,1 周,100%,,朱佳俊; 吴嘉政; 褚旭; 宋子涵; 会议室; 施健一,,,,,,,1.4.1.3,,500,"¥1,400.00","¥1,400.00"
1.4.2,详细设计,2018/10/24 上午10:00,2018/11/2 下午4:00,4 天,4 天,100%,,,,,,,,,,,,¥960.00,¥960.00
1.4.2.1,UI设计,2018/10/24 上午10:00,2018/10/29 下午4:00,2 天,2 天,100%,,施健一,,,,,,,,,500,¥480.00,¥480.00
1.4.2.2,数据库设计,2018/10/30 上午10:00,2018/10/31 下午4:00,1 天,1 天,100%,,宋子涵,,,,,,,1.4.1.1,,500,¥240.00,¥240.00
1.4.2.3,流程图设计,2018/11/1 上午10:00,2018/11/2 下午4:00,1 天,1 天,100%,,褚旭,,,,,,,1.4.2.2,,500,¥240.00,¥240.00
1.4.3,系统设计完成,2018/11/7 上午10:00,2018/11/7 上午10:00,,,100%,,,,,,,,,"1.4.1, 1.4.2",,,,
1.5,开发,2018/11/7 上午10:00,2018/11/20 下午4:00,1 周,3 周 2 天,100%,,,,,,,,,1.4,,,"¥4,080.00","¥4,080.00"
1.5.1,公共模块,2018/11/7 上午10:00,2018/11/8 下午4:00,1 天,1 周,100%,,朱佳俊; 褚旭; 施健一; 宋子涵; 吴嘉政,,,,,,,,,500,"¥1,200.00","¥1,200.00"
1.5.2,具体模块,2018/11/9 上午10:00,2018/11/20 下午4:00,4 天,2 周 2 天,100%,,,,,,,,,1.5.1,,,"¥2,880.00","¥2,880.00"
1.5.2.1,任务管理模块,2018/11/9 上午10:00,2018/11/20 下午4:00,4 天,4 天,100%,,宋子涵,,,,,,,,,500,¥960.00,¥960.00
1.5.2.2,任务组管理模块,2018/11/9 上午10:00,2018/11/14 下午4:00,2 天,2 天,100%,,朱佳俊,,,,,,,,,500,¥480.00,¥480.00
1.5.2.3,专注计时模块,2018/11/9 上午10:00,2018/11/14 下午4:00,2 天,2 天,100%,,褚旭,,,,,,,,,500,¥480.00,¥480.00
1.5.2.4,统计模块,2018/11/9 上午10:00,2018/11/14 下午4:00,2 天,2 天,100%,,吴嘉政,,,,,,,,,500,¥480.00,¥480.00
1.5.2.5,分享模块,2018/11/9 上午10:00,2018/11/14 下午4:00,2 天,2 天,100%,,施健一,,,,,,,,,500,¥480.00,¥480.00
1.5.3,系统编码完成,2018/11/20 下午4:00,2018/11/20 下午4:00,,,100%,,,,,,,,,1.5.2,,,,
1.6,测试,2018/11/21 上午10:00,2018/12/27 下午4:00,2 周 3 天 4 小时,1 月 1 周 3 天,136%,,,,,,,,,1.5,,,"¥6,920.00","¥6,920.00"
1.6.1,根据产品规范制定单元测试计划,2018/11/21 上午10:00,2018/11/22 下午4:00,1 天,1 周,100%,,宋子涵; 褚旭; 吴嘉政; 朱佳俊; 施健一; 会议室,,,,,,,,,500,"¥1,400.00","¥1,400.00"
1.6.2,根据产品规范制定集成测试计划,2018/11/23 上午10:00,2018/11/26 下午4:00,1 天,3 天,100%,,吴嘉政; 施健一; 朱佳俊,,,,,,,1.6.1,,500,¥720.00,¥720.00
1.6.3,根据产品规范制定系统测试计划,2018/12/24 上午10:00,2018/12/25 下午4:00,1 天,2 天,100%,,宋子涵; 褚旭,,,,,,,1.6.5,,500,¥480.00,¥480.00
1.6.4,单元测试,2018/11/23 上午10:00,2018/11/28 下午4:00,2 天,2 周,100%,,吴嘉政; 朱佳俊; 褚旭; 宋子涵; 施健一,,,,,,,1.6.1,,500,"¥2,400.00","¥2,400.00"
1.6.5,集成测试,2018/11/29 上午10:00,2018/12/4 下午4:00,2 天,1 周 1 天,100%,,吴嘉政; 施健一; 朱佳俊,,,,,,,"1.6.2, 1.6.4",,500,"¥1,440.00","¥1,440.00"
1.6.6,系统测试,2018/12/26 上午10:00,2018/12/27 下午4:00,1 天,2 天,100%,,宋子涵; 褚旭,,,,,,,1.6.3,,500,¥480.00,¥480.00
1.6.7,测试完成,2018/12/27 下午4:00,2018/12/27 下午4:00,,,100%,,,,,,,,,1.6.6,,,,
1.7,验收运行,2018/12/28 上午10:00,2019/1/2 下午4:00,2 天,2 周,25%,,褚旭; 施健一; 宋子涵; 吴嘉政; 朱佳俊; 会议室,,,,,,,1.6,,500,"¥2,600.00","¥2,600.00"
1.8,系统提交完成,2019/1/2 下午4:00,2019/1/2 下午4:00,,,0%,,,,,,,,,1.7,,,,
